s} (flopped=false)], isPlo=true]
[Hour=87875, Hand=[PokerHand: handType=FULL_HOUSE {3c 3d 3h Kh Kd}], isPlo=false]
[Hour=87876, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9c Tc Jc Qc Kc}], isPlo=false]
[Hour=87877, Hand=[PokerHand: handType=QUADS {Jh Ks Kh Kc Kd} (flopped=false)], isPlo=true]
[Hour=87878, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5s 6s 7s 8s 9s} (flopped=true)], isPlo=true]
[Hour=87879, Hand=[PokerHand: handType=FULL_HOUSE {Kh Ks Ad Ah As}], isPlo=false]
[Hour=87880, Hand=[PokerHand: handType=FULL_HOUSE {3h 3d 7c 7s 7d}], isPlo=false]
[Hour=87881, Hand=[PokerHand: handType=QUADS {Qc As Ad Ac Ah} (flopped=false)], isPlo=true]
[Hour=87882, Hand=[PokerHand: handType=QUADS {9c Tc Th Td Ts} (flopped=false)], isPlo=true]
[Hour=87883, Hand=[PokerHand: handType=QUADS {Ts Td Th Tc Ac} (flopped=true)], isPlo=true]
[Hour=87884, Hand=[PokerHand: handType=FULL_HOUSE {Jd Jc Ks Kd Kc}], isPlo=false]
[Hour=87885, Hand=[PokerHand: handType=QUADS {8d 8h 8s 8c Ks} (flopped=false)], isPlo=true]
[Hour=87886, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2c 3c 4c 5c 6c}], isPlo=false]
[Hour=87887, Hand=[PokerHand: handType=QUADS {Jc Qs Qc Qd Qh} (flopped=false)], isPlo=true]
[Hour=87888, Hand=[PokerHand: handType=QUADS {Qh Qs Qc Qd Kc}], isPlo=false]
[Hour=87889, Hand=[PokerHand: handType=QUADS {Qd Ad Ah As Ac} (flopped=false)], isPlo=true]
[Hour=87890, Hand=null, isPlo=null]
[Hour=87891, Hand=null, isPlo=null]
[Hour=87892, Hand=[PokerHand: handType=FULL_HOUSE {Td Th Ac As Ad}], isPlo=false]
[Hour=87893, Hand=[PokerHand: handType=QUADS {8h Ks Kc Kh Kd}], isPlo=false]
[Hour=87894, Hand=[PokerHand: handType=FULL_HOUSE {7d 7s Ac Ah Ad}], isPlo=false]
[Hour=87895, Hand=[PokerHand: handType=QUADS {8d 8h 8s 8c Th} (flopped=false)], isPlo=true]
[Hour=87896, Hand=[PokerHand: handType=QUADS {Kd Kc Ks Kh Ah} (flopped=true)], isPlo=true]
[Hour=87897, Hand=[PokerHand: handType=QUADS {8s 8d 8c 8h Ah}], isPlo=false]
[Hour=87898, Hand=[PokerHand: handType=FULL_HOUSE {Jc Js Qs Qh Qd}], isPlo=false]
[Hour=87899, Hand=[PokerHand: handType=FULL_HOUSE {Jh Js Jc Qd Qc}], isPlo=false]
[Hour=87900, Hand=[PokerHand: handType=FULL_HOUSE {Th Td Tc Ah As}], isPlo=false]
[Hour=87901, Hand=[PokerHand: handType=QUADS {9c Qc Qs Qh Qd} (flopped=false)], isPlo=true]
[Hour=87902, Hand=[PokerHand: handType=QUADS {Jc Jd Jh Js Ad} (flopped=false)], isPlo=true]
[Hour=87903, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4c 5c 6c 7c 8c}], isPlo=false]
[Hour=87904, Hand=[PokerHand: handType=QUADS {Tc Qs Qh Qc Qd} (flopped=false)], isPlo=true]
[Hour=87905, Hand=[PokerHand: handType=QUADS {Jd Ad Ac As Ah}], isPlo=false]
[Hour=87906, Hand=[PokerHand: handType=FULL_HOUSE {Qs Qh Ks Kh Kc}], isPlo=false]
[Hour=87907, Hand=[PokerHand: handType=FULL_HOUSE {Jd Jc Js Ac Ah}], isPlo=false]
[Hour=87908, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2d 3d 4d 5d 6d} (flopped=true)], isPlo=true]
[Hour=87909, Hand=[PokerHand: handType=FULL_HOUSE {9d 9s Kc Kd Ks}], isPlo=false]
[Hour=87910, Hand=[PokerHand: handType=FULL_HOUSE {9s 9h 9d Qs Qc}], isPlo=false]
[Hour=87911, Hand=[PokerHand: handType=FULL_HOUSE {9h 9c Tc Th Td}], isPlo=false]
[Hour=87912, Hand=[PokerHand: handType=FULL_HOUSE {9h 9s Jh Jc Js}], isPlo=false]
[Hour=87913, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Ts Js Qs Ks As} (flopped=false)], isPlo=true]
[Hour=87914, Hand=[PokerHand: handType=FULL_HOUSE {7c 7s 7d Ah As}], isPlo=false]
[Hour=87915, Hand=[PokerHand: handType=FULL_HOUSE {5c 5d 5s 8d 8h}], isPlo=false]
[Hour=87916, Hand=[PokerHand: handType=FULL_HOUSE {8s 8h Kh Kc Kd}], isPlo=false]
[Hour=87917, Hand=[PokerHand: handType=QUADS {Qd Ah As Ac Ad} (flopped=true)], isPlo=true]
[Hour=87918, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Th Jh Qh Kh Ah} (flopped=false)], isPlo=true]
[Hour=87919, Hand=[PokerHand: handType=FULL_HOUSE {Th Tc Jh Jd Js}], isPlo=false]
[Hour=87920, Hand=[PokerHand: handType=QUADS {9s Jc Js Jd Jh}], isPlo=false]
[Hour=87921, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6h 7h 8h 9h Th} (flopped=false)], isPlo=true]
[Hour=87922, Hand=[PokerHand: handType=QUADS {Qh Qc Qs Qd Kc}], isPlo=false]
[Hour=87923, Hand=[PokerHand: handType=FULL_HOUSE {9h 9c Tc Th Ts}], isPlo=false]
[Hour=87924, Hand=[PokerHand: handType=FULL_HOUSE {8c 8h Qh Qc Qd}], isPlo=false]
[Hour=87925, Hand=[PokerHand: handType=FULL_HOUSE {3d 3c Ac As Ad}], isPlo=false]
[Hour=87926, Hand=[PokerHand: handType=FULL_HOUSE {Kc Kd Ah Ac As}], isPlo=false]
[Hour=87927, Hand=[PokerHand: handType=FULL_HOUSE {7s 7c As Ac Ad}], isPlo=false]
[Hour=87928, Hand=[PokerHand: handType=FULL_HOUSE {8s 8d Jc Jd Js}], isPlo=false]
[Hour=87929, Hand=[PokerHand: handType=FULL_HOUSE {Qh Qc Kc Ks Kd}], isPlo=false]
[Hour=87930, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6h 7h 8h 9h Th} (flopped=false)], isPlo=true]
[Hour=87931, Hand=[PokerHand: handType=FULL_HOUSE {8c 8h Qd Qs Qc}], isPlo=false]
[Hour=87932, Hand=[PokerHand: handType=FULL_HOUSE {Qd Qh Qc Ks Kh}], isPlo=false]
[Hour=87933, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8h 9h Th Jh Qh} (flopped=false)], isPlo=true]
[Hour=87934, Hand=[PokerHand: handType=QUADS {7s Qc Qd Qs Qh}], isPlo=false]
[Hour=87935, Hand=[PokerHand: handType=FULL_HOUSE {Qd Qs Qc Ks Kc}], isPlo=false]
[Hour=87936, Hand=[PokerHand: handType=FULL_HOUSE {2s 2h Jh Js Jc}], isPlo=false]
[Hour=87937, Hand=[PokerHand: handType=FULL_HOUSE {6c 6h Qh Qc Qs}], isPlo=false]
[Hour=87938, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6s 7s 8s 9s Ts} (flopped=false)], isPlo=true]
[Hour=87939, Hand=null, isPlo=null]
[Hour=87940, Hand=[PokerHand: handType=FULL_HOUSE {7d 7h As Ah Ad}], isPlo=false]
[Hour=87941, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2c 3c 4c 5c 6c} (flopped=false)], isPlo=true]
[Hour=87942, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7s 8s 9s Ts Js} (flopped=false)], isPlo=true]
[Hour=87943, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4h 5h 6h 7h 8h} (flopped=false)], isPlo=true]
[Hour=87944, Hand=[PokerHand: handType=FULL_HOUSE {Tc Td Ac Ad As}], isPlo=false]
[Hour=87945, Hand=[PokerHand: handType=QUADS {7d 7c 7h 7s Ks} (flopped=false)], isPlo=true]
[Hour=87946, Hand=[PokerHand: handType=QUADS {Ks Ah Ac As Ad} (flopped=false)], isPlo=true]
[Hour=87947, Hand=[PokerHand: handType=FULL_HOUSE {2c 2d 2s 7c 7h}], isPlo=false]
[Hour=87948, Hand=[PokerHand: handType=FULL_HOUSE {Kc Ks Kh Ad Ac}], isPlo=false]
[Hour=87949, Hand=[PokerHand: handType=QUADS {Ts Qh Qs Qc Qd} (flopped=false)], isPlo=true]
[Hour=87950, Hand=[PokerHand: handType=QUADS {8h Th Td Tc Ts}], isPlo=false]
[Hour=87951, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9s Ts Js Qs Ks} (flopped=false)], isPlo=true]
[Hour=87952, Hand=[PokerHand: handType=QUADS {Jc Ah As Ac Ad} (flopped=false)], isPlo=true]
[Hour=87953, Hand=[PokerHand: handType=FULL_HOUSE {2d 2h Ks Kc Kd}], isPlo=false]
[Hour=87954, Hand=[PokerHand: handType=QUADS {Qh Qs Qd Qc Kc} (flopped=false)], isPlo=true]
[Hour=87955, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3d 4d 5d 6d 7d} (flopped=true)], isPlo=true]
[Hour=87956, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2s 3s 4s 5s As} (flopped=false)], isPlo=true]
[Hour=87957, Hand=[PokerHand: handType=FULL_HOUSE {3s 3c Qh Qd Qs}], isPlo=false]
[Hour=87958, Hand=[PokerHand: handType=QUADS {9c Ts Th Td Tc} (flopped=false)], isPlo=true]
[Hour=87959, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6h 7h 8h 9h Th} (flopped=false)], isPlo=true]
[Hour=87960, Hand=[PokerHand: handType=QUADS {7c Ah Ad As Ac} (flopped=false)], isPlo=true]
[Hour=87961, Hand=[PokerHand: handType=QUADS {Js Qs Qh Qd Qc}], isPlo=false]
[Hour=87962, Hand=[PokerHand: handType=FULL_HOUSE {7h 7c Th Ts Tc}], isPlo=false]
[Hour=87963, Hand=[PokerHand: handType=QUADS {Jd Ac As Ah Ad} (flopped=false)], isPlo=true]
[Hour=87964, Hand=[PokerHand: handType=QUADS {Qc As Ac Ad Ah} (flopped=false)], isPlo=true]
[Hour=87965, Hand=[PokerHand: handType=FULL_HOUSE {5s 5h Kd Kc Ks}], isPlo=false]
[Hour=87966, Hand=[PokerHand: handType=QUADS {Js Jc Jd Jh Ah} (flopped=false)], isPlo=true]
[Hour=87967, Hand=[PokerHand: handType=QUADS {8h 8c 8d 8s As} (flopped=false)], isPlo=true]
[Hour=87968, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8h 9h Th Jh Qh} (flopped=false)], isPlo=true]
[Hour=87969, Hand=[PokerHand: handType=QUADS {Qc Ad As Ac Ah} (flopped=false)], isPlo=true]
[Hour=87970, Hand=[PokerHand: handType=QUADS {8h 8d 8s 8c Qc} (flopped=false)], isPlo=true]
[Hour=87971, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4h 5h 6h 7h 8h} (flopped=false)], isPlo=true]
[Hour=87972, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2h 3h 4h 5h Ah} (flopped=false)], isPlo=true]
[Hour=87973, Hand=[PokerHand: handType=QUADS {4h 4c 4d 4s Qc}], isPlo=false]
[Hour=87974, Hand=[PokerHand: handType=QUADS {Tc Td Ts Th Qd} (flopped=false)], isPlo=true]
[Hour=87975, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3c 4c 5c 6c 7c} (flopped=false)], isPlo=true]
[Hour=87976, Hand=[PokerHand: handType=QUADS {4s 9c 9h 9d 9s} (flopped=false)], isPlo=true]
[Hour=87977, Hand=[PokerHand: handType=FULL_HOUSE {3s 3d 3h Kd Kc}], isPlo=false]
[Hour=87978, Hand=[PokerHand: handType=FULL_HOUSE {5d 5s 7d 7h 7s}], isPlo=false]
[Hour=87979, Hand=[PokerHand: handType=FULL_HOUSE {Tc Ts Th Ac Ah}], isPlo=false]
[Hour=87980, Hand=[PokerHand: handType=QUADS {8h 8c 8d 8s Qc} (flopped=false)], isPlo=true]
[Hour=87981, Hand=[PokerHand: handType=FULL_HOUSE {Tc Ts Td Ac As}], isPlo=false]
[Hour=87982, Hand=[PokerHand: handType=QUADS {Ks Ah As Ad Ac} (flopped=false)], isPlo=true]
[Hour=87983, Hand=[PokerHand: handType=QUADS {Qh Qd Qc Qs Kd} (flopped=false)], isPlo=true]
[Hour=87984, Hand=[PokerHand: handType=FULL_HOUSE {4s 4c Ac Ah Ad}], isPlo=false]
[Hour=87985, Hand=[PokerHand: handType=QUADS {7h Tc Th Ts Td} (flopped=false)], isPlo=true]
[Hour=87986, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2h 3h 4h 5h Ah} (flopped=false)], isPlo=true]
[Hour=87987, Hand=[PokerHand: handType=FULL_HOUSE {4c 4d 4h As Ah}], isPlo=false]
[Hour=87988, Hand=[PokerHand: handType=FULL_HOUSE {7s 7h Jd Js Jh}], isPlo=false]
[Hour=87989, Hand=[PokerHand: handType=QUADS {Tc Ad Ah Ac As} (flopped=false)], isPlo=true]
[Hour=87990, Hand=[PokerHand: handType=QUADS {Js Jd Jc Jh Ac} (flopped=false)], isPlo=true]
[Hour=87991, Hand=[PokerHand: handType=FULL_HOUSE {3h 3c Qh Qc Qd}], isPlo=false]
[Hour=87992, Hand=[PokerHand: handType=QUADS {Jc Kh Kc Kd Ks} (flopped=false)], isPlo=true]
[Hour=87993, Hand=[PokerHand: handType=FULL_HOUSE {2c 2s 9s 9c 9d}], isPlo=false]
[Hour=87994, Hand=[PokerHand: handType=QUADS {2d 2s 2c 2h Jc}], isPlo=false]
[Hour=87995, Hand=[PokerHand: handType=QUADS {Qh Ks Kd Kc Kh} (flopped=false)], isPlo=true]
[Hour=87996, Hand=[PokerHand: handType=QUADS {8d Kh Kd Kc Ks} (flopped=false)], isPlo=true]
[Hour=87997, Hand=[PokerHand: handType=QUADS {7s Td Tc Ts Th}], isPlo=false]
[Hour=87998, Hand=[PokerHand: handType=FULL_HOUSE {7d 7h Qs Qh Qd}], isPlo=false]
[Hour=87999, Hand=[PokerHand: handType=QUADS {Tc Kh Ks Kc Kd} (flopped=false)], isPlo=true]
[Hour=88000, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5h 6h 7h 8h 9h} (flopped=false)], isPlo=true]
[Hour=88001, Hand=[PokerHand: handType=FULL_HOUSE {7c 7h Qh Qd Qc}], isPlo=false]
[Hour=88002, Hand=[PokerHand: handType=FULL_HOUSE {3c 3s 9d 9c 9s}], isPlo=false]
[Hour=88003, Hand=[PokerHand: handType=FULL_HOUSE {4d 4s 4h 6d 6s}], isPlo=false]
[Hour=88004, Hand=[PokerHand: handType=QUADS {Js Kd Kh Kc Ks} (flopped=false)], isPlo=true]
[Hour=88005, Hand=[PokerHand: handType=FULL_HOUSE {9c 9d Jc Js Jd}], isPlo=false]
[Hour=88006, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2d 3d 4d 5d Ad}], isPlo=false]
[Hour=88007, Hand=[PokerHand: handType=QUADS {Jh Ks Kc Kd Kh} (flopped=false)], isPlo=true]
[Hour=88008, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4h 5h 6h 7h 8h}], isPlo=false]
[Hour=88009, Hand=[PokerHand: handType=QUADS {Ts Tc Th Td Qd}], isPlo=false]
[Hour=88010, Hand=[PokerHand: handType=QUADS {Td Ts Th Tc Ac} (flopped=false)], isPlo=true]
[Hour=88011, Hand=[PokerHand: handType=QUADS {Kd Kc Ks Kh Ah}], isPlo=false]
[Hour=88012, Hand=[PokerHand: handType=FULL_HOUSE {6d 6s 8d 8s 8h}], isPlo=false]
[Hour=88013, Hand=[PokerHand: handType=FULL_HOUSE {2c 2s Ah Ac Ad}], isPlo=false]
[Hour=88014, Hand=[PokerHand: handType=FULL_HOUSE {4s 4h Qc Qd Qh}], isPlo=false]
[Hour=88015, Hand=[PokerHand: handType=QUADS {8s 8d 8h 8c Kc} (flopped=false)], isPlo=true]
[Hour=88016, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Tc Jc Qc Kc Ac}], isPlo=false]
[Hour=88017, Hand=[PokerHand: handType=QUADS {Jd Jh Js Jc Kh} (flopped=false)], isPlo=true]
[Hour=88018, Hand=[PokerHand: handType=QUADS {Qd As Ah Ac Ad} (flopped=false)], isPlo=true]
[Hour=88019, Hand=[PokerHand: handType=FULL_HOUSE {2h 2d 3s 3c 3d}], isPlo=false]
[Hour=88020, Hand=[PokerHand: handType=QUADS {Qc Qh Qd Qs Ad} (flopped=false)], isPlo=true]
[Hour=88021, Hand=[PokerHand: handType=QUADS {Jd Kd Kh Ks Kc}], isPlo=false]
[Hour=88022, Hand=[PokerHand: handType=QUADS {Ts Kh Kd Kc Ks} (flopped=false)], isPlo=true]
[Hour=88023, Hand=[PokerHand: handType=FULL_HOUSE {8s 8d Td Th Tc}], isPlo=false]
[Hour=88024, Hand=[PokerHand: handType=QUADS {Jh Jd Jc Js Ah} (flopped=false)], isPlo=true]
[Hour=88025, Hand=[PokerHand: handType=QUADS {Th Ts Td Tc Js} (flopped=false)], isPlo=true]
[Hour=88026, Hand=[PokerHand: handType=FULL_HOUSE {8c 8h 9h 9d 9s}], isPlo=false]
[Hour=88027, Hand=[PokerHand: handType=FULL_HOUSE {3h 3c 3d 5h 5c}], isPlo=false]
[Hour=88028, Hand=[PokerHand: handType=QUADS {Jh Ah As Ac Ad} (flopped=false)], isPlo=true]
[Hour=88029, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7c 8c 9c Tc Jc} (flopped=false)], isPlo=true]
[Hour=88030, Hand=[PokerHand: handType=FULL_HOUSE {9s 9d Ts Th Td}], isPlo=false]
[Hour=88031, Hand=[PokerHand: handType=QUADS {Ts Tc Td Th Ah}], isPlo=false]
[Hour=88032, Hand=[PokerHand: handType=FULL_HOUSE {2h 2c Qh Qc Qs}], isPlo=false]
[Hour=88033, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5s 6s 7s 8s 9s} (flopped=false)], isPlo=true]
[Hour=88034, Hand=[PokerHand: handType=QUADS {5d Kc Kh Kd Ks} (flopped=false)], isPlo=true]
[Hour=88035, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3c 4c 5c 6c 7c} (flopped=false)], isPlo=true]
[Hour=88036, Hand=[PokerHand: handType=QUADS {6c Js Jc Jh Jd} (flopped=false)], isPlo=true]
[Hour=88037, Hand=[PokerHand: handType=QUADS {Tc Qs Qh Qd Qc} (flopped=false)], isPlo=true]
[Hour=88038, Hand=[PokerHand: handType=FULL_HOUSE {6h 6d Kd Ks Kh}], isPlo=false]
[Hour=88039, Hand=[PokerHand: handType=QUADS {Ks Kc Kd Kh Ah} (flopped=false)], isPlo=true]
[Hour=88040, Hand=[PokerHand: handType=FULL_HOUSE {3s 3h 5d 5h 5c}], isPlo=false]
[Hour=88041, Hand=[PokerHand: handType=FULL_HOUSE {Jh Jd Kd Ks Kc}], isPlo=false]
[Hour=88042, Hand=[PokerHand: handType=QUADS {8h 8c 8s 8d Qh} (flopped=false)], isPlo=true]
[Hour=88043, Hand=[PokerHand: handType=QUADS {5h 5c 5d 5s Ts}], isPlo=false]
[Hour=88044, Hand=[PokerHand: handType=FULL_HOUSE {5c 5h Jc Jh Jd}], isPlo=false]
[Hour=88045, Hand=[PokerHand: handType=QUADS {Kh Kd Ks Kc As} (flopped=false)], isPlo=true]
[Hour=88046, Hand=[PokerHand: handType=QUADS {Kh Ad Ah As Ac} (flopped=false)], isPlo=true]
[Hour=88047, Hand=[PokerHand: handType=FULL_HOUSE {2d 2s Qc Qd Qh}], isPlo=false]
[Hour=88048, Hand=[PokerHand: handType=FULL_HOUSE {9c 9d As Ah Ac}], isPlo=false]
[Hour=88049, Hand=[PokerHand: handType=QUADS {9h Tc Th Ts Td} (flopped=false)], isPlo=true]
[Hour=88050, Hand=[PokerHand: handType=QUADS {Js Jd Jh Jc Ks} (flopped=true)], isPlo=true]
[Hour=88051, Hand=[PokerHand: handType=QUADS {Js Qc Qh Qs Qd} (flopped=false)], isPlo=true]
[Hour=88052, Hand=[PokerHand: handType=FULL_HOUSE {Jh Jd Js Qd Qs}], isPlo=false]
[Hour=88053, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2h 3h 4h 5h 6h} (flopped=false)], isPlo=true]
[Hour=88054, Hand=[PokerHand: handType=FULL_HOUSE {5d 5h 6c 6d 6s}], isPlo=false]
[Hour=88055, Hand=[PokerHand: handType=QUADS {Kd Kh Ks Kc As} (flopped=false)], isPlo=true]
[Hour=88056, Hand=[PokerHand: handType=QUADS {7c Jh Jd Js Jc} (flopped=false)], isPlo=true]
[Hour=88057, Hand=[PokerHand: handType=QUADS {8s 8c 8d 8h Kd} (flopped=false)], isPlo=true]
[Hour=88058, Hand=[PokerHand: handType=FULL_HOUSE {Tc Td Th Jc Js}], isPlo=false]
[Hour=88059, Hand=[PokerHand: handType=FULL_HOUSE {2h 2d 2c 4d 4c}], isPlo=false]
[Hour=88060, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5c 6c 7c 8c 9c} (flopped=false)], isPlo=true]
[Hour=88061, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4h 5h 6h 7h 8h} (flopped=false)], isPlo=true]
[Hour=88062, Hand=[PokerHand: handType=QUADS {9c 9d 9s 9h Js} (flopped=false)], isPlo=true]
[Hour=88063, Hand=[PokerHand: handType=FULL_HOUSE {4c 4s 4d Ad Ac}], isPlo=false]
[Hour=88064, Hand=[PokerHand: handType=QUADS {Jh Jc Js Jd Ah} (flopped=false)], isPlo=true]
[Hour=88065, Hand=[PokerHand: handType=FULL_HOUSE {5d 5h 5s 9s 9h}], isPlo=false]
[Hour=88066, Hand=[PokerHand: handType=FULL_HOUSE {5s 5c 5d Qs Qh}], isPlo=false]
[Hour=88067, Hand=[PokerHand: handType=FULL_HOUSE {Js Jd Ac Ad As}], isPlo=false]
[Hour=88068, Hand=[PokerHand: handType=QUADS {7h 7d 7c 7s Ah} (flopped=false)], isPlo=true]
[Hour=88069, Hand=[PokerHand: handType=QUADS {6s As Ac Ah Ad} (flopped=false)], isPlo=true]
[Hour=88070, Hand=[PokerHand: handType=QUADS {Th Tc Ts Td Qs} (flopped=false)], isPlo=true]
[Hour=88071, Hand=[PokerHand: handType=QUADS {5c 5h 5s 5d Ts}], isPlo=false]
[Hour=88072, Hand=[PokerHand: handType=QUADS {8s 8h 8c 8d As} (flopped=false)], isPlo=true]
[Hour=88073, Hand=null, isPlo=null]
[Hour=88074, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7c 8c 9c Tc Jc} (flopped=false)], isPlo=true]
[Hour=88075, Hand=[PokerHand: handType=FULL_HOUSE {2c 2h 2d Jd Jh}], isPlo=false]
[Hour=88076, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8s 9s Ts Js Qs} (flopped=false)], isPlo=true]
[Hour=88077, Hand=[PokerHand: handType=QUADS {6d Js Jh Jd Jc} (flopped=false)], isPlo=true]
[Hour=88078, Hand=null, isPlo=null]
[Hour=88079, Hand=[PokerHand: handType=FULL_HOUSE {Th Ts Td Ah Ac}], isPlo=false]
[Hour=88080, Hand=[PokerHand: handType=FULL_HOUSE {2d 2c 4d 4s 4c}], isPlo=false]
[Hour=88081, Hand=[PokerHand: handType=QUADS {8s 8d 8h 8c 9c} (flopped=false)], isPlo=true]
[Hour=88082, Hand=[PokerHand: handType=QUADS {Th Tc Ts Td Jc} (flopped=false)], isPlo=true]
[Hour=88083, Hand=[PokerHand: handType=FULL_HOUSE {6s 6d Ac Ad Ah}], isPlo=false]
[Hour=88084, Hand=[PokerHand: handType=QUADS {9s 9d 9c 9h Qd} (flopped=false)], isPlo=true]
[Hour=88085, Hand=[PokerHand: handType=FULL_HOUSE {4h 4c 4d 7c 7d}], isPlo=false]
[Hour=88086, Hand=[PokerHand: handType=QUADS {Jc Jh Js Jd As} (flopped=false)], isPlo=true]
[Hour=88087, Hand=[PokerHand: handType=QUADS {3h 3c 3s 3d Qh}], isPlo=false]
[Hour=88088, Hand=[PokerHand: handType=QUADS {8d 8c 8s 8h Qh} (flopped=false)], isPlo=true]
[Hour=88089, Hand=[PokerHand: handType=QUADS {Th Ts Td Tc Ac} (flopped=false)], isPlo=true]
[Hour=88090, Hand=[PokerHand: handType=FULL_HOUSE {4h 4s Jd Jc Js}], isPlo=false]
[Hour=88091, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Th Jh Qh Kh Ah} (flopped=false)], isPlo=true]
[Hour=88092, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2h 3h 4h 5h Ah} (flopped=true)], isPlo=true]
