C:\Users\Genevieve\.jdks\openjdk-15.0.1\bin\java.exe "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2020.2.3\lib\idea_rt.jar=55373:C:\Program Files\JetBrains\IntelliJ IDEA 2020.2.3\bin" -Dfile.encoding=UTF-8 -classpath C:\Users\Genevieve\Desktop\PokerHighHandSimulator\out\production\PokerHighHandSimulator;C:\Users\Genevieve\Desktop\commons-cli-1.5.0.jar main.Main --simulationDuration 10000 --numHandsPerHour 25 --highHandMinimumQualifier 22233 --highHandDuration 1 --numNlhTables 1 --numPloTables 1 --numPlayersPerTable 8 --ploHighHandMinimumQualifier 5555A --noPloFlopRestriction
================ HighHandSimulator ================
numNlhTables=1
numPloTables=1
numHandsPerHour=25
numPlayersPerTable=8
simulationDuration=PT10000H
highHand=[HighHand: nlhMinimumQualifyingHand=[PokerHand: handType=FULL_HOUSE {2 2 2 3 3}], ploMinimumQualifyingHand=[PokerHand: handType=QUADS {5 5 5 5 A}], highHandPeriod=PT1H]
[Hour=9, Hand=null, isPlo=null]
[Hour=10, Hand=[PokerHand: handType=FULL_HOUSE {9h 9d Qh Qc Qs}], isPlo=false]
[Hour=11, Hand=[PokerHand: handType=FULL_HOUSE {6h 6d 6s 9d 9s}], isPlo=false]
[Hour=12, Hand=[PokerHand: handType=QUADS {Kh Ks Kc Kd As}], isPlo=false]
[Hour=13, Hand=[PokerHand: handType=QUADS {6d 6s 6h 6c 9d}], isPlo=false]
[Hour=14, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2h 3h 4h 5h 6h} (flopped=false)], isPlo=true]
[Hour=15, Hand=[PokerHand: handType=FULL_HOUSE {7h 7s 7d Ah Ad}], isPlo=false]
[Hour=16, Hand=[PokerHand: handType=QUADS {Js Qc Qs Qd Qh}], isPlo=false]
[Hour=17, Hand=[PokerHand: handType=FULL_HOUSE {3c 3d Qs Qc Qh}], isPlo=false]
[Hour=18, Hand=[PokerHand: handType=FULL_HOUSE {8s 8c Ts Td Tc}], isPlo=false]
[Hour=19, Hand=[PokerHand: handType=QUADS {Js Jd Jh Jc Kc} (flopped=false)], isPlo=true]
[Hour=20, Hand=[PokerHand: handType=FULL_HOUSE {9c 9h Kd Kc Kh}], isPlo=false]
[Hour=21, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6d 7d 8d 9d Td} (flopped=false)], isPlo=true]
[Hour=22, Hand=[PokerHand: handType=QUADS {9d Qs Qh Qc Qd}], isPlo=false]
[Hour=23, Hand=[PokerHand: handType=FULL_HOUSE {8c 8s Ac As Ad}], isPlo=false]
[Hour=24, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3d 4d 5d 6d 7d} (flopped=false)], isPlo=true]
[Hour=25, Hand=[PokerHand: handType=QUADS {8s Jd Js Jc Jh} (flopped=false)], isPlo=true]
[Hour=26, Hand=[PokerHand: handType=FULL_HOUSE {Kc Kh Ah Ac Ad}], isPlo=false]
[Hour=27, Hand=[PokerHand: handType=FULL_HOUSE {4c 4h Qd Qh Qs}], isPlo=false]
[Hour=28, Hand=[PokerHand: handType=QUADS {6h Qh Qd Qc Qs} (flopped=false)], isPlo=true]
[Hour=29, Hand=[PokerHand: handType=QUADS {5h 9c 9s 9d 9h}], isPlo=false]
[Hour=30, Hand=[PokerHand: handType=QUADS {2c 2d 2s 2h 5d}], isPlo=false]
[Hour=31, Hand=[PokerHand: handType=QUADS {5s 6d 6c 6h 6s} (flopped=false)], isPlo=true]
[Hour=32, Hand=[PokerHand: handType=QUADS {Kh Ac Ad As Ah} (flopped=false)], isPlo=true]
[Hour=33, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7d 8d 9d Td Jd} (flopped=false)], isPlo=true]
[Hour=34, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3s 4s 5s 6s 7s} (flopped=false)], isPlo=true]
[Hour=35, Hand=[PokerHand: handType=FULL_HOUSE {5s 5d Ts Td Tc}], isPlo=false]
[Hour=36, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8s 9s Ts Js Qs} (flopped=false)], isPlo=true]
[Hour=37, Hand=[PokerHand: handType=QUADS {5h Tc Td Ts Th} (flopped=false)], isPlo=true]
[Hour=38, Hand=[PokerHand: handType=QUADS {5h 5s 5c 5d 8c} (flopped=false)], isPlo=true]
[Hour=39, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9s Ts Js Qs Ks}], isPlo=false]
[Hour=40, Hand=[PokerHand: handType=FULL_HOUSE {Tc Ts Kc Kd Kh}], isPlo=false]
[Hour=41, Hand=[PokerHand: handType=FULL_HOUSE {6h 6d Jd Js Jc}], isPlo=false]
[Hour=42, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5c 6c 7c 8c 9c} (flopped=false)], isPlo=true]
[Hour=43, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5h 6h 7h 8h 9h} (flopped=false)], isPlo=true]
[Hour=44, Hand=[PokerHand: handType=QUADS {5s 6d 6c 6h 6s}], isPlo=false]
[Hour=45, Hand=[PokerHand: handType=FULL_HOUSE {2h 2c Ah Ac As}], isPlo=false]
[Hour=46, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6c 7c 8c 9c Tc}], isPlo=false]
[Hour=47, Hand=[PokerHand: handType=QUADS {5s 5d 5h 5c 6d} (flopped=false)], isPlo=true]
[Hour=48, Hand=[PokerHand: handType=QUADS {Qs Kd Ks Kc Kh} (flopped=false)], isPlo=true]
[Hour=49, Hand=[PokerHand: handType=FULL_HOUSE {2h 2c Qc Qs Qh}], isPlo=false]
[Hour=50, Hand=null, isPlo=null]
[Hour=51, Hand=[PokerHand: handType=FULL_HOUSE {7s 7d Jd Jc Js}], isPlo=false]
[Hour=52, Hand=[PokerHand: handType=FULL_HOUSE {4c 4s Ac Ah As}], isPlo=false]
[Hour=53, Hand=[PokerHand: handType=FULL_HOUSE {Qd Qc Ah Ad Ac}], isPlo=false]
[Hour=54, Hand=[PokerHand: handType=QUADS {7h 7d 7c 7s Ts} (flopped=false)], isPlo=true]
[Hour=55, Hand=[PokerHand: handType=FULL_HOUSE {9c 9d 9h As Ah}], isPlo=false]
[Hour=56, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4s 5s 6s 7s 8s} (flopped=false)], isPlo=true]
[Hour=57, Hand=[PokerHand: handType=FULL_HOUSE {2s 2c Qd Qs Qc}], isPlo=false]
[Hour=58, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8c 9c Tc Jc Qc} (flopped=false)], isPlo=true]
[Hour=59, Hand=[PokerHand: handType=FULL_HOUSE {2c 2d Qs Qc Qd}], isPlo=false]
[Hour=60, Hand=[PokerHand: handType=QUADS {Kd Kc Kh Ks Ad}], isPlo=false]
[Hour=61, Hand=[PokerHand: handType=QUADS {Js Jh Jc Jd Kd} (flopped=false)], isPlo=true]
[Hour=62, Hand=[PokerHand: handType=FULL_HOUSE {Qs Qc Qd Kd Ks}], isPlo=false]
[Hour=63, Hand=[PokerHand: handType=FULL_HOUSE {7d 7c Jh Jc Jd}], isPlo=false]
[Hour=64, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Ts Js Qs Ks As} (flopped=false)], isPlo=true]
[Hour=65, Hand=[PokerHand: handType=QUADS {7c Ts Td Tc Th} (flopped=false)], isPlo=true]
[Hour=66, Hand=[PokerHand: handType=FULL_HOUSE {9c 9s Jc Jd Js}], isPlo=false]
[Hour=67, Hand=[PokerHand: handType=QUADS {8c 8s 8d 8h 9h} (flopped=false)], isPlo=true]
[Hour=68, Hand=[PokerHand: handType=QUADS {Ts Kc Kh Kd Ks} (flopped=false)], isPlo=true]
[Hour=69, Hand=[PokerHand: handType=QUADS {8s Jh Jd Jc Js} (flopped=false)], isPlo=true]
[Hour=70, Hand=[PokerHand: handType=QUADS {Kd Ah Ad Ac As} (flopped=false)], isPlo=true]
[Hour=71, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8s 9s Ts Js Qs} (flopped=false)], isPlo=true]
[Hour=72, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6c 7c 8c 9c Tc}], isPlo=false]
[Hour=73, Hand=[PokerHand: handType=QUADS {7c 7s 7d 7h Ts} (flopped=false)], isPlo=true]
[Hour=74, Hand=[PokerHand: handType=QUADS {9c 9d 9h 9s Jc} (flopped=false)], isPlo=true]
[Hour=75, Hand=[PokerHand: handType=QUADS {7s Jd Js Jc Jh} (flopped=false)], isPlo=true]
[Hour=76, Hand=[PokerHand: handType=QUADS {2s Ac Ah Ad As}], isPlo=false]
[Hour=77, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8s 9s Ts Js Qs}], isPlo=false]
[Hour=78, Hand=[PokerHand: handType=QUADS {8d 8h 8s 8c Td} (flopped=false)], isPlo=true]
[Hour=79, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3s 4s 5s 6s 7s} (flopped=false)], isPlo=true]
[Hour=80, Hand=null, isPlo=null]
[Hour=81, Hand=[PokerHand: handType=QUADS {5c 5s 5h 5d 6c} (flopped=false)], isPlo=true]
[Hour=82, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8h 9h Th Jh Qh} (flopped=false)], isPlo=true]
[Hour=83, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5c 6c 7c 8c 9c}], isPlo=false]
[Hour=84, Hand=null, isPlo=null]
[Hour=85, Hand=[PokerHand: handType=FULL_HOUSE {7h 7c Kd Kc Ks}], isPlo=false]
[Hour=86, Hand=[PokerHand: handType=FULL_HOUSE {2c 2h 6d 6c 6s}], isPlo=false]
[Hour=87, Hand=[PokerHand: handType=FULL_HOUSE {Jd Jh Ad Ac Ah}], isPlo=false]
[Hour=88, Hand=[PokerHand: handType=QUADS {7d 7s 7h 7c 8c}], isPlo=false]
[Hour=89, Hand=[PokerHand: handType=QUADS {7c 9c 9h 9s 9d}], isPlo=false]
[Hour=90, Hand=[PokerHand: handType=QUADS {7h 7c 7d 7s Ts} (flopped=false)], isPlo=true]
[Hour=91, Hand=[PokerHand: handType=QUADS {9s Kd Ks Kc Kh} (flopped=false)], isPlo=true]
[Hour=92, Hand=[PokerHand: handType=FULL_HOUSE {4d 4c 4h Jc Jh}], isPlo=false]
[Hour=93, Hand=[PokerHand: handType=FULL_HOUSE {4s 4d Kh Ks Kc}], isPlo=false]
[Hour=94, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8c 9c Tc Jc Qc} (flopped=false)], isPlo=true]
[Hour=95, Hand=[PokerHand: handType=FULL_HOUSE {9h 9c As Ac Ah}], isPlo=false]
[Hour=96, Hand=[PokerHand: handType=QUADS {Tc Ts Td Th Jh} (flopped=false)], isPlo=true]
[Hour=97, Hand=[PokerHand: handType=QUADS {8c 8h 8d 8s Td} (flopped=false)], isPlo=true]
[Hour=98, Hand=[PokerHand: handType=QUADS {Qh Qs Qc Qd Ks} (flopped=false)], isPlo=true]
[Hour=99, Hand=[PokerHand: handType=QUADS {8d 8h 8c 8s Ts} (flopped=false)], isPlo=true]
[Hour=100, Hand=[PokerHand: handType=QUADS {9h Qh Qd Qs Qc} (flopped=false)], isPlo=true]
[Hour=101, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Th Jh Qh Kh Ah}], isPlo=false]
[Hour=102, Hand=[PokerHand: handType=QUADS {9s Td Ts Tc Th} (flopped=false)], isPlo=true]
[Hour=103, Hand=[PokerHand: handType=QUADS {Qc Qs Qh Qd As} (flopped=false)], isPlo=true]
[Hour=104, Hand=[PokerHand: handType=QUADS {8h 9s 9c 9d 9h}], isPlo=false]
[Hour=105, Hand=[PokerHand: handType=QUADS {2h 2s 2d 2c 6h}], isPlo=false]
[Hour=106, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5d 6d 7d 8d 9d}], isPlo=false]
[Hour=107, Hand=[PokerHand: handType=QUADS {4s 4d 4h 4c 7s}], isPlo=false]
[Hour=108, Hand=[PokerHand: handType=FULL_HOUSE {3s 3h Qs Qc Qh}], isPlo=false]
[Hour=109, Hand=[PokerHand: handType=QUADS {Qd Qs Qc Qh Ac} (flopped=false)], isPlo=true]
[Hour=110, Hand=[PokerHand: handType=FULL_HOUSE {2s 2h Qs Qh Qd}], isPlo=false]
[Hour=111, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Tc Jc Qc Kc Ac} (flopped=false)], isPlo=true]
[Hour=112, Hand=[PokerHand: handType=QUADS {5h 5d 5c 5s 6s} (flopped=false)], isPlo=true]
[Hour=113, Hand=[PokerHand: handType=FULL_HOUSE {7c 7d Ad Ah Ac}], isPlo=false]
[Hour=114, Hand=[PokerHand: handType=QUADS {Jh Jd Js Jc Kc} (flopped=false)], isPlo=true]
[Hour=115, Hand=[PokerHand: handType=QUADS {8h 8s 8d 8c Ts}], isPlo=false]
[Hour=116, Hand=[PokerHand: handType=QUADS {8h 8s 8d 8c Tc} (flopped=false)], isPlo=true]
[Hour=117, Hand=[PokerHand: handType=QUADS {3h Jc Jd Jh Js}], isPlo=false]
[Hour=118, Hand=[PokerHand: handType=QUADS {9s 9c 9h 9d Qh} (flopped=false)], isPlo=true]
[Hour=119, Hand=[PokerHand: handType=QUADS {Ts Th Tc Td Kh} (flopped=false)], isPlo=true]
[Hour=120, Hand=[PokerHand: handType=FULL_HOUSE {8d 8c Jc Jd Jh}], isPlo=false]
[Hour=121, Hand=[PokerHand: handType=QUADS {2c 2s 2d 2h 7s}], isPlo=false]
[Hour=122, Hand=[PokerHand: handType=QUADS {Jh Kh Ks Kc Kd} (flopped=false)], isPlo=true]
[Hour=123, Hand=[PokerHand: handType=QUADS {6h 7c 7h 7d 7s} (flopped=false)], isPlo=true]
[Hour=124, Hand=[PokerHand: handType=QUADS {Tc Ad Ac As Ah} (flopped=false)], isPlo=true]
[Hour=125, Hand=null, isPlo=null]
[Hour=126, Hand=[PokerHand: handType=QUADS {5d 5h 5c 5s 6c} (flopped=false)], isPlo=true]
[Hour=127, Hand=[PokerHand: handType=QUADS {Qh Ad Ah As Ac} (flopped=false)], isPlo=true]
[Hour=128, Hand=[PokerHand: handType=FULL_HOUSE {6h 6s Kh Ks Kc}], isPlo=false]
[Hour=129, Hand=[PokerHand: handType=FULL_HOUSE {4d 4h Qd Qs Qh}], isPlo=false]
[Hour=130, Hand=[PokerHand: handType=QUADS {Qc Kh Kd Ks Kc} (flopped=false)], isPlo=true]
[Hour=131, Hand=[PokerHand: handType=FULL_HOUSE {5c 5d 9d 9h 9s}], isPlo=false]
[Hour=132, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8s 9s Ts Js Qs} (flopped=false)], isPlo=true]
[Hour=133, Hand=[PokerHand: handType=QUADS {6h 6c 6d 6s 7d} (flopped=false)], isPlo=true]
[Hour=134, Hand=[PokerHand: handType=QUADS {9c Jh Js Jc Jd} (flopped=false)], isPlo=true]
[Hour=135, Hand=[PokerHand: handType=QUADS {Qd Qs Qh Qc Kh} (flopped=false)], isPlo=true]
[Hour=136, Hand=[PokerHand: handType=QUADS {9c Ac As Ah Ad} (flopped=false)], isPlo=true]
[Hour=137, Hand=[PokerHand: handType=QUADS {6h 6c 6s 6d Qh} (flopped=false)], isPlo=true]
[Hour=138, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Ts Js Qs Ks As} (flopped=true)], isPlo=true]
[Hour=139, Hand=[PokerHand: handType=QUADS {Qc Qs Qd Qh Kh} (flopped=true)], isPlo=true]
[Hour=140, Hand=[PokerHand: handType=QUADS {Qh Ad Ah As Ac}], isPlo=false]
[Hour=141, Hand=[PokerHand: handType=QUADS {Jh Ad Ah As Ac} (flopped=false)], isPlo=true]
[Hour=142, Hand=[PokerHand: handType=FULL_HOUSE {7c 7s As Ad Ah}], isPlo=false]
[Hour=143, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4h 5h 6h 7h 8h} (flopped=true)], isPlo=true]
[Hour=144, Hand=[PokerHand: handType=FULL_HOUSE {Ts Td Kd Ks Kh}], isPlo=false]
[Hour=145, Hand=[PokerHand: handType=FULL_HOUSE {4c 4d 4h Ad Ac}], isPlo=false]
[Hour=146, Hand=[PokerHand: handType=FULL_HOUSE {4h 4c Kh Ks Kc}], isPlo=false]
[Hour=147, Hand=[PokerHand: handType=QUADS {3d 3s 3c 3h Th}], isPlo=false]
[Hour=148, Hand=[PokerHand: handType=FULL_HOUSE {8d 8s 8c Th Td}], isPlo=false]
[Hour=149, Hand=[PokerHand: handType=QUADS {9d 9s 9h 9c Tc} (flopped=false)], isPlo=true]
[Hour=150, Hand=[PokerHand: handType=FULL_HOUSE {3h 3c Qs Qc Qh}], isPlo=false]
[Hour=151, Hand=[PokerHand: handType=QUADS {8h 8d 8s 8c Jh} (flopped=false)], isPlo=true]
[Hour=152, Hand=[PokerHand: handType=QUADS {Td Tc Th Ts Jd} (flopped=true)], isPlo=true]
[Hour=153, Hand=[PokerHand: handType=QUADS {Jd Kc Ks Kh Kd}], isPlo=false]
[Hour=154, Hand=[PokerHand: handType=QUADS {7c 7h 7s 7d Tc} (flopped=true)], isPlo=true]
[Hour=155, Hand=[PokerHand: handType=QUADS {Jd Kc Kd Ks Kh}], isPlo=false]
[Hour=156, Hand=[PokerHand: handType=FULL_HOUSE {9d 9s 9c Ah Ac}], isPlo=false]
[Hour=157, Hand=[PokerHand: handType=FULL_HOUSE {Th Ts Td Ac Ah}], isPlo=false]
[Hour=158, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7d 8d 9d Td Jd} (flopped=false)], isPlo=true]
[Hour=159, Hand=[PokerHand: handType=QUADS {7c 7h 7d 7s 8h} (flopped=false)], isPlo=true]
[Hour=160, Hand=[PokerHand: handType=QUADS {Jd As Ad Ac Ah} (flopped=false)], isPlo=true]
[Hour=161, Hand=[PokerHand: handType=QUADS {Jc Js Jd Jh Qd} (flopped=false)], isPlo=true]
[Hour=162, Hand=[PokerHand: handType=QUADS {Jd Js Jc Jh Qd}], isPlo=false]
[Hour=163, Hand=[PokerHand: handType=FULL_HOUSE {7s 7c Ad As Ac}], isPlo=false]
[Hour=164, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9s Ts Js Qs Ks}], isPlo=false]
[Hour=165, Hand=[PokerHand: handType=QUADS {8h Td Tc Ts Th} (flopped=false)], isPlo=true]
[Hour=166, Hand=[PokerHand: handType=QUADS {5c 5d 5h 5s 7h} (flopped=false)], isPlo=true]
[Hour=167, Hand=[PokerHand: handType=QUADS {7c Jc Js Jh Jd}], isPlo=false]
[Hour=168, Hand=[PokerHand: handType=FULL_HOUSE {2c 2d 9d 9h 9c}], isPlo=false]
[Hour=169, Hand=[PokerHand: handType=FULL_HOUSE {7d 7c Kd Kh Ks}], isPlo=false]
[Hour=170, Hand=[PokerHand: handType=FULL_HOUSE {7d 7s Tc Ts Td}], isPlo=false]
[Hour=171, Hand=[PokerHand: handType=QUADS {Qs Qh Qd Qc Ad} (flopped=true)], isPlo=true]
[Hour=172, Hand=[PokerHand: handType=FULL_HOUSE {5c 5d Qd Qs Qc}], isPlo=false]
[Hour=173, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7d 8d 9d Td Jd} (flopped=false)], isPlo=true]
[Hour=174, Hand=[PokerHand: handType=QUADS {Th Qd Qc Qs Qh}], isPlo=false]
[Hour=175, Hand=[PokerHand: handType=FULL_HOUSE {Qc Qs Qd Ad Ah}], isPlo=false]
[Hour=176, Hand=[PokerHand: handType=QUADS {8h 8c 8d 8s 9h} (flopped=false)], isPlo=true]
[Hour=177, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4c 5c 6c 7c 8c} (flopped=true)], isPlo=true]
[Hour=178, Hand=[PokerHand: handType=QUADS {7c 7s 7d 7h Ts} (flopped=false)], isPlo=true]
[Hour=179, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2s 3s 4s 5s 6s} (flopped=false)], isPlo=true]
[Hour=180, Hand=[PokerHand: handType=QUADS {Th Td Tc Ts Qd} (flopped=false)], isPlo=true]
[Hour=181, Hand=[PokerHand: handType=QUADS {9c Kh Kc Ks Kd} (flopped=false)], isPlo=true]
[Hour=182, Hand=[PokerHand: handType=QUADS {9h 9s 9c 9d Qd} (flopped=false)], isPlo=true]
[Hour=183, Hand=[PokerHand: handType=QUADS {Jh Jc Jd Js Qc} (flopped=false)], isPlo=true]
[Hour=184, Hand=[PokerHand: handType=QUADS {8h 8c 8d 8s 9d}], isPlo=false]
[Hour=185, Hand=[PokerHand: handType=FULL_HOUSE {Qd Qh Ks Kc Kd}], isPlo=false]
[Hour=186, Hand=[PokerHand: handType=FULL_HOUSE {8s 8d Ah As Ac}], isPlo=false]
[Hour=187, Hand=[PokerHand: handType=QUADS {7d 7h 7c 7s Kd} (flopped=false)], isPlo=true]
[Hour=188, Hand=[PokerHand: handType=QUADS {3h 3c 3d 3s Jc}], isPlo=false]
[Hour=189, Hand=[PokerHand: handType=FULL_HOUSE {Tc Ts Jc Jd Jh}], isPlo=false]
[Hour=190, Hand=[PokerHand: handType=QUADS {Jh Qd Qh Qc Qs} (flopped=true)], isPlo=true]
[Hour=191, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3d 4d 5d 6d 7d}], isPlo=false]
[Hour=192, Hand=[PokerHand: handType=FULL_HOUSE {7d 7h 7c Kh Kd}], isPlo=false]
[Hour=193, Hand=[PokerHand: handType=QUADS {6s 7d 7s 7h 7c} (flopped=false)], isPlo=true]
[Hour=194, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3s 4s 5s 6s 7s} (flopped=false)], isPlo=true]
[Hour=195, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7c 8c 9c Tc Jc} (flopped=false)], isPlo=true]
[Hour=196, Hand=[PokerHand: handType=QUADS {Qh Kc Kh Kd Ks}], isPlo=false]
[Hour=197, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7h 8h 9h Th Jh} (flopped=false)], isPlo=true]
[Hour=198, Hand=[PokerHand: handType=QUADS {Qs Qc Qh Qd Kh}], isPlo=false]
[Hour=199, Hand=[PokerHand: handType=QUADS {4h 4c 4s 4d 8c}], isPlo=false]
[Hour=200, Hand=[PokerHand: handType=QUADS {Th Kd Ks Kc Kh} (flopped=false)], isPlo=true]
[Hour=201, Hand=[PokerHand: handType=QUADS {5d 5h 5c 5s 9c} (flopped=false)], isPlo=true]
[Hour=202, Hand=[PokerHand: handType=QUADS {6h 6s 6d 6c Qc}], isPlo=false]
[Hour=203, Hand=[PokerHand: handType=FULL_HOUSE {2s 2c Qh Qs Qc}], isPlo=false]
[Hour=204, Hand=[PokerHand: handType=QUADS {6s 6c 6d 6h Kc}], isPlo=false]
[Hour=205, Hand=[PokerHand: handType=QUADS {Ks As Ac Ad Ah} (flopped=false)], isPlo=true]
[Hour=206, Hand=[PokerHand: handType=QUADS {7h Kc Kh Ks Kd}], isPlo=false]
[Hour=207, Hand=[PokerHand: handType=QUADS {Ts Th Tc Td Qh}], isPlo=false]
[Hour=208, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7c 8c 9c Tc Jc} (flopped=false)], isPlo=true]
[Hour=209, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9s Ts Js Qs Ks} (flopped=false)], isPlo=true]
[Hour=210, Hand=[PokerHand: handType=QUADS {7s 7d 7h 7c 8d} (flopped=false)], isPlo=true]
[Hour=211, Hand=[PokerHand: handType=QUADS {6c 6s 6h 6d 9c} (flopped=false)], isPlo=true]
[Hour=212, Hand=[PokerHand: handType=QUADS {9s 9c 9h 9d Th}], isPlo=false]
[Hour=213, Hand=null, isPlo=null]
[Hour=214, Hand=[PokerHand: handType=QUADS {8h Ts Tc Th Td} (flopped=true)], isPlo=true]
[Hour=215, Hand=[PokerHand: handType=FULL_HOUSE {2s 2c Th Ts Tc}], isPlo=false]
[Hour=216, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7s 8s 9s Ts Js} (flopped=false)], isPlo=true]
[Hour=217, Hand=[PokerHand: handType=QUADS {Qd Qh Qs Qc Kh} (flopped=false)], isPlo=true]
[Hour=218, Hand=[PokerHand: handType=QUADS {4d 9h 9d 9s 9c}], isPlo=false]
[Hour=219, Hand=[PokerHand: handType=QUADS {Qd Kc Kh Ks Kd} (flopped=false)], isPlo=true]
[Hour=220, Hand=[PokerHand: handType=FULL_HOUSE {2c 2d Qh Qd Qc}], isPlo=false]
[Hour=221, Hand=[PokerHand: handType=QUADS {7s 7h 7d 7c Th} (flopped=false)], isPlo=true]
[Hour=222, Hand=[PokerHand: handType=QUADS {Jh Js Jd Jc Ks} (flopped=false)], isPlo=true]
[Hour=223, Hand=[PokerHand: handType=FULL_HOUSE {Jh Js Qs Qd Qh}], isPlo=false]
[Hour=224, Hand=[PokerHand: handType=FULL_HOUSE {3h 3c 3s 5d 5h}], isPlo=false]
[Hour=225, Hand=[PokerHand: handType=QUADS {Td Th Tc Ts Jc}], isPlo=false]
[Hour=226, Hand=[PokerHand: handType=QUADS {Jc Ah Ac As Ad} (flopped=true)], isPlo=true]
[Hour=227, Hand=[PokerHand: handType=FULL_HOUSE {3h 3c 8d 8c 8h}], isPlo=false]
[Hour=228, Hand=[PokerHand: handType=QUADS {7h 9c 9h 9s 9d} (flopped=false)], isPlo=true]
[Hour=229, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5s 6s 7s 8s 9s} (flopped=false)], isPlo=true]
[Hour=230, Hand=[PokerHand: handType=QUADS {8h 8d 8s 8c Ad} (flopped=false)], isPlo=true]
[Hour=231, Hand=[PokerHand: handType=QUADS {Jc Kd Kc Ks Kh} (flopped=false)], isPlo=true]
[Hour=232, Hand=[PokerHand: handType=QUADS {9s Ac As Ad Ah} (flopped=false)], isPlo=true]
[Hour=233, Hand=null, isPlo=null]
