, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5d 6d 7d 8d 9d}], isPlo=false]
[Hour=88475, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5c 6c 7c 8c 9c} (flopped=false)], isPlo=true]
[Hour=88476, Hand=[PokerHand: handType=QUADS {Th Tc Td Ts Qd} (flopped=false)], isPlo=true]
[Hour=88477, Hand=[PokerHand: handType=QUADS {9h 9c 9d 9s Tc} (flopped=false)], isPlo=true]
[Hour=88478, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8h 9h Th Jh Qh} (flopped=false)], isPlo=true]
[Hour=88479, Hand=[PokerHand: handType=FULL_HOUSE {Tc Th Qs Qc Qh}], isPlo=false]
[Hour=88480, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Ts Js Qs Ks As} (flopped=false)], isPlo=true]
[Hour=88481, Hand=[PokerHand: handType=QUADS {Qh Qs Qd Qc Kh} (flopped=false)], isPlo=true]
[Hour=88482, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4c 5c 6c 7c 8c} (flopped=false)], isPlo=true]
[Hour=88483, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9c Tc Jc Qc Kc} (flopped=false)], isPlo=true]
[Hour=88484, Hand=[PokerHand: handType=QUADS {4c 8s 8h 8c 8d}], isPlo=false]
[Hour=88485, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4c 5c 6c 7c 8c} (flopped=false)], isPlo=true]
[Hour=88486, Hand=[PokerHand: handType=QUADS {Qd Ks Kh Kc Kd} (flopped=false)], isPlo=true]
[Hour=88487, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4d 5d 6d 7d 8d} (flopped=false)], isPlo=true]
[Hour=88488, Hand=[PokerHand: handType=QUADS {9h Qh Qc Qd Qs} (flopped=false)], isPlo=true]
[Hour=88489, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7d 8d 9d Td Jd} (flopped=false)], isPlo=true]
[Hour=88490, Hand=[PokerHand: handType=QUADS {Jd Kh Ks Kd Kc} (flopped=false)], isPlo=true]
[Hour=88491, Hand=[PokerHand: handType=QUADS {9c Ad Ah Ac As} (flopped=false)], isPlo=true]
[Hour=88492, Hand=[PokerHand: handType=QUADS {9c Qc Qh Qs Qd}], isPlo=false]
[Hour=88493, Hand=[PokerHand: handType=QUADS {Qh Qc Qd Qs Ah} (flopped=false)], isPlo=true]
[Hour=88494, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Ts Js Qs Ks As}], isPlo=false]
[Hour=88495, Hand=[PokerHand: handType=QUADS {Jh Kc Ks Kd Kh} (flopped=false)], isPlo=true]
[Hour=88496, Hand=[PokerHand: handType=QUADS {Jc Ac Ad Ah As} (flopped=false)], isPlo=true]
[Hour=88497, Hand=[PokerHand: handType=QUADS {Jd Ac Ah As Ad} (flopped=true)], isPlo=true]
[Hour=88498, Hand=[PokerHand: handType=QUADS {Qh Qs Qd Qc Ah} (flopped=false)], isPlo=true]
[Hour=88499, Hand=[PokerHand: handType=FULL_HOUSE {8h 8d As Ah Ad}], isPlo=false]
[Hour=88500, Hand=[PokerHand: handType=QUADS {9c Qs Qc Qd Qh} (flopped=false)], isPlo=true]
[Hour=88501, Hand=[PokerHand: handType=QUADS {9d 9s 9h 9c Ac} (flopped=false)], isPlo=true]
[Hour=88502, Hand=[PokerHand: handType=QUADS {Kc Ad As Ac Ah} (flopped=false)], isPlo=true]
[Hour=88503, Hand=[PokerHand: handType=QUADS {Jd Ah Ac As Ad}], isPlo=false]
[Hour=88504, Hand=[PokerHand: handType=QUADS {9s Ac Ah Ad As}], isPlo=false]
[Hour=88505, Hand=[PokerHand: handType=QUADS {7d 7s 7h 7c Kd} (flopped=false)], isPlo=true]
[Hour=88506, Hand=[PokerHand: handType=QUADS {Js Jc Jd Jh Kd} (flopped=false)], isPlo=true]
[Hour=88507, Hand=[PokerHand: handType=QUADS {9h 9c 9d 9s Qd} (flopped=true)], isPlo=true]
[Hour=88508, Hand=[PokerHand: handType=QUADS {Ks Ad As Ah Ac}], isPlo=false]
[Hour=88509, Hand=[PokerHand: handType=QUADS {9h Ac As Ad Ah}], isPlo=false]
[Hour=88510, Hand=[PokerHand: handType=FULL_HOUSE {Kh Kd Ah Ad Ac}], isPlo=false]
[Hour=88511, Hand=[PokerHand: handType=QUADS {Jd Ah Ac As Ad} (flopped=false)], isPlo=true]
[Hour=88512, Hand=[PokerHand: handType=QUADS {9h Ts Td Tc Th}], isPlo=false]
[Hour=88513, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9s Ts Js Qs Ks} (flopped=false)], isPlo=true]
[Hour=88514, Hand=[PokerHand: handType=QUADS {7d 7s 7h 7c Ad} (flopped=false)], isPlo=true]
[Hour=88515, Hand=[PokerHand: handType=QUADS {4h Qs Qh Qc Qd} (flopped=false)], isPlo=true]
[Hour=88516, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6c 7c 8c 9c Tc}], isPlo=false]
[Hour=88517, Hand=[PokerHand: handType=FULL_HOUSE {Th Td Kc Kh Ks}], isPlo=false]
[Hour=88518, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Td Jd Qd Kd Ad}], isPlo=false]
[Hour=88519, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4s 5s 6s 7s 8s} (flopped=false)], isPlo=true]
[Hour=88520, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5d 6d 7d 8d 9d} (flopped=false)], isPlo=true]
[Hour=88521, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3c 4c 5c 6c 7c} (flopped=false)], isPlo=true]
[Hour=88522, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3d 4d 5d 6d 7d} (flopped=false)], isPlo=true]
[Hour=88523, Hand=[PokerHand: handType=QUADS {Js Jc Jd Jh Ks} (flopped=false)], isPlo=true]
[Hour=88524, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6d 7d 8d 9d Td} (flopped=false)], isPlo=true]
[Hour=88525, Hand=[PokerHand: handType=QUADS {Ks Ac Ad Ah As} (flopped=false)], isPlo=true]
[Hour=88526, Hand=[PokerHand: handType=QUADS {5d Qd Qc Qh Qs}], isPlo=false]
[Hour=88527, Hand=[PokerHand: handType=QUADS {5s Kc Kh Kd Ks}], isPlo=false]
[Hour=88528, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Td Jd Qd Kd Ad} (flopped=false)], isPlo=true]
[Hour=88529, Hand=[PokerHand: handType=FULL_HOUSE {6s 6c 6h Ac Ah}], isPlo=false]
[Hour=88530, Hand=[PokerHand: handType=QUADS {Ts Td Th Tc Ah} (flopped=false)], isPlo=true]
[Hour=88531, Hand=[PokerHand: handType=QUADS {Kd Ad Ac As Ah} (flopped=false)], isPlo=true]
[Hour=88532, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9h Th Jh Qh Kh}], isPlo=false]
[Hour=88533, Hand=[PokerHand: handType=QUADS {8s Js Jd Jh Jc} (flopped=false)], isPlo=true]
[Hour=88534, Hand=[PokerHand: handType=FULL_HOUSE {6c 6d 9h 9s 9c}], isPlo=false]
[Hour=88535, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5s 6s 7s 8s 9s} (flopped=false)], isPlo=true]
[Hour=88536, Hand=[PokerHand: handType=QUADS {Kh Ac As Ah Ad} (flopped=true)], isPlo=true]
[Hour=88537, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7c 8c 9c Tc Jc} (flopped=false)], isPlo=true]
[Hour=88538, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3s 4s 5s 6s 7s} (flopped=false)], isPlo=true]
[Hour=88539, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4s 5s 6s 7s 8s} (flopped=false)], isPlo=true]
[Hour=88540, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7h 8h 9h Th Jh}], isPlo=false]
[Hour=88541, Hand=[PokerHand: handType=QUADS {9d 9c 9s 9h Kc} (flopped=false)], isPlo=true]
[Hour=88542, Hand=[PokerHand: handType=QUADS {Qd Qc Qs Qh Kc} (flopped=false)], isPlo=true]
[Hour=88543, Hand=[PokerHand: handType=QUADS {6c Ah Ad Ac As} (flopped=false)], isPlo=true]
[Hour=88544, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8d 9d Td Jd Qd} (flopped=false)], isPlo=true]
[Hour=88545, Hand=[PokerHand: handType=QUADS {Td Kc Ks Kd Kh} (flopped=false)], isPlo=true]
[Hour=88546, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9h Th Jh Qh Kh} (flopped=false)], isPlo=true]
[Hour=88547, Hand=[PokerHand: handType=QUADS {9d Js Jd Jh Jc} (flopped=false)], isPlo=true]
[Hour=88548, Hand=[PokerHand: handType=QUADS {Ts Ad Ac Ah As} (flopped=false)], isPlo=true]
[Hour=88549, Hand=[PokerHand: handType=QUADS {6c Ah Ac As Ad} (flopped=true)], isPlo=true]
[Hour=88550, Hand=[PokerHand: handType=QUADS {Js Ac Ah As Ad} (flopped=false)], isPlo=true]
[Hour=88551, Hand=[PokerHand: handType=QUADS {9h 9s 9d 9c Jc} (flopped=false)], isPlo=true]
[Hour=88552, Hand=[PokerHand: handType=QUADS {Ts Tc Th Td Jc} (flopped=false)], isPlo=true]
[Hour=88553, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3s 4s 5s 6s 7s}], isPlo=false]
[Hour=88554, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3c 4c 5c 6c 7c} (flopped=false)], isPlo=true]
[Hour=88555, Hand=[PokerHand: handType=QUADS {5c 8c 8s 8h 8d} (flopped=false)], isPlo=true]
[Hour=88556, Hand=[PokerHand: handType=FULL_HOUSE {9s 9c 9d Qd Qc}], isPlo=false]
[Hour=88557, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3s 4s 5s 6s 7s} (flopped=false)], isPlo=true]
[Hour=88558, Hand=[PokerHand: handType=FULL_HOUSE {Ks Kh Ac As Ad}], isPlo=false]
[Hour=88559, Hand=[PokerHand: handType=QUADS {9h Ah Ad Ac As} (flopped=false)], isPlo=true]
[Hour=88560, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7c 8c 9c Tc Jc} (flopped=false)], isPlo=true]
[Hour=88561, Hand=[PokerHand: handType=QUADS {Th Td Tc Ts Ah} (flopped=false)], isPlo=true]
[Hour=88562, Hand=[PokerHand: handType=QUADS {Ts Th Td Tc Ks} (flopped=false)], isPlo=true]
[Hour=88563, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5h 6h 7h 8h 9h}], isPlo=false]
[Hour=88564, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Ts Js Qs Ks As}], isPlo=false]
[Hour=88565, Hand=[PokerHand: handType=QUADS {Ks Kd Kh Kc Ac} (flopped=false)], isPlo=true]
[Hour=88566, Hand=[PokerHand: handType=QUADS {Qc Ac Ah As Ad} (flopped=false)], isPlo=true]
[Hour=88567, Hand=[PokerHand: handType=QUADS {Qd Ad As Ac Ah}], isPlo=false]
[Hour=88568, Hand=[PokerHand: handType=QUADS {Qh Qs Qc Qd As} (flopped=false)], isPlo=true]
[Hour=88569, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9h Th Jh Qh Kh} (flopped=false)], isPlo=true]
[Hour=88570, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9c Tc Jc Qc Kc} (flopped=false)], isPlo=true]
[Hour=88571, Hand=[PokerHand: handType=QUADS {Kd Ac Ad Ah As} (flopped=false)], isPlo=true]
[Hour=88572, Hand=[PokerHand: handType=QUADS {Ts Kh Kc Kd Ks} (flopped=false)], isPlo=true]
[Hour=88573, Hand=[PokerHand: handType=QUADS {9c Kh Ks Kd Kc} (flopped=false)], isPlo=true]
[Hour=88574, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7s 8s 9s Ts Js} (flopped=false)], isPlo=true]
[Hour=88575, Hand=[PokerHand: handType=QUADS {7d Jd Jh Js Jc} (flopped=false)], isPlo=true]
[Hour=88576, Hand=[PokerHand: handType=QUADS {Qh As Ad Ac Ah} (flopped=false)], isPlo=true]
[Hour=88577, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8h 9h Th Jh Qh}], isPlo=false]
[Hour=88578, Hand=[PokerHand: handType=QUADS {Kh Ad Ac As Ah} (flopped=false)], isPlo=true]
[Hour=88579, Hand=[PokerHand: handType=QUADS {Qc Qd Qs Qh Ac} (flopped=false)], isPlo=true]
[Hour=88580, Hand=[PokerHand: handType=QUADS {Jd Ad As Ah Ac}], isPlo=false]
[Hour=88581, Hand=[PokerHand: handType=QUADS {Ks Ah Ac As Ad} (flopped=false)], isPlo=true]
[Hour=88582, Hand=[PokerHand: handType=FULL_HOUSE {9d 9h As Ad Ah}], isPlo=false]
[Hour=88583, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8c 9c Tc Jc Qc}], isPlo=false]
[Hour=88584, Hand=[PokerHand: handType=QUADS {Jc Js Jd Jh Qs} (flopped=false)], isPlo=true]
[Hour=88585, Hand=[PokerHand: handType=QUADS {Jc Jd Jh Js Ks} (flopped=false)], isPlo=true]
[Hour=88586, Hand=[PokerHand: handType=QUADS {Qc Ah Ad Ac As} (flopped=true)], isPlo=true]
[Hour=88587, Hand=[PokerHand: handType=QUADS {Th Ts Td Tc Qc} (flopped=false)], isPlo=true]
[Hour=88588, Hand=[PokerHand: handType=QUADS {Qc Qd Qh Qs Kc} (flopped=false)], isPlo=true]
[Hour=88589, Hand=[PokerHand: handType=QUADS {4s 8s 8c 8h 8d}], isPlo=false]
[Hour=88590, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7c 8c 9c Tc Jc}], isPlo=false]
[Hour=88591, Hand=[PokerHand: handType=QUADS {Js Ah Ad Ac As} (flopped=false)], isPlo=true]
[Hour=88592, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Tc Jc Qc Kc Ac} (flopped=false)], isPlo=true]
[Hour=88593, Hand=[PokerHand: handType=QUADS {9h 9d 9c 9s Qs} (flopped=false)], isPlo=true]
[Hour=88594, Hand=[PokerHand: handType=FULL_HOUSE {Qc Qd Qh Ah As}], isPlo=false]
[Hour=88595, Hand=[PokerHand: handType=QUADS {Jd Js Jc Jh Qd} (flopped=false)], isPlo=true]
[Hour=88596, Hand=[PokerHand: handType=FULL_HOUSE {Tc Ts As Ad Ac}], isPlo=false]
[Hour=88597, Hand=[PokerHand: handType=QUADS {Qc Ad Ac Ah As} (flopped=false)], isPlo=true]
[Hour=88598, Hand=[PokerHand: handType=QUADS {9h As Ac Ah Ad} (flopped=false)], isPlo=true]
[Hour=88599, Hand=[PokerHand: handType=FULL_HOUSE {9d 9c Td Ts Th}], isPlo=false]
[Hour=88600, Hand=[PokerHand: handType=QUADS {Td Tc Th Ts Qs} (flopped=false)], isPlo=true]
[Hour=88601, Hand=[PokerHand: handType=QUADS {2d 3s 3h 3c 3d}], isPlo=false]
[Hour=88602, Hand=[PokerHand: handType=QUADS {4h Ad Ac Ah As}], isPlo=false]
[Hour=88603, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Th Jh Qh Kh Ah} (flopped=false)], isPlo=true]
[Hour=88604, Hand=[PokerHand: handType=QUADS {Th Ks Kh Kd Kc}], isPlo=false]
[Hour=88605, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6h 7h 8h 9h Th} (flopped=false)], isPlo=true]
[Hour=88606, Hand=[PokerHand: handType=QUADS {Qd Ah Ad Ac As} (flopped=false)], isPlo=true]
[Hour=88607, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9c Tc Jc Qc Kc} (flopped=false)], isPlo=true]
[Hour=88608, Hand=[PokerHand: handType=FULL_HOUSE {9s 9h 9d Js Jd}], isPlo=false]
[Hour=88609, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4h 5h 6h 7h 8h} (flopped=false)], isPlo=true]
[Hour=88610, Hand=[PokerHand: handType=QUADS {8d 8s 8c 8h Js}], isPlo=false]
[Hour=88611, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5s 6s 7s 8s 9s} (flopped=false)], isPlo=true]
[Hour=88612, Hand=[PokerHand: handType=QUADS {Qc Qs Qh Qd Ah} (flopped=false)], isPlo=true]
[Hour=88613, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7d 8d 9d Td Jd} (flopped=false)], isPlo=true]
[Hour=88614, Hand=[PokerHand: handType=QUADS {9c 9s 9h 9d Qc} (flopped=true)], isPlo=true]
[Hour=88615, Hand=[PokerHand: handType=FULL_HOUSE {6d 6s As Ah Ad}], isPlo=false]
[Hour=88616, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9s Ts Js Qs Ks} (flopped=false)], isPlo=true]
[Hour=88617, Hand=[PokerHand: handType=QUADS {8s 8h 8c 8d Tc} (flopped=false)], isPlo=true]
[Hour=88618, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2h 3h 4h 5h 6h} (flopped=false)], isPlo=true]
[Hour=88619, Hand=[PokerHand: handType=FULL_HOUSE {9s 9c Qd Qc Qs}], isPlo=false]
[Hour=88620, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4h 5h 6h 7h 8h} (flopped=false)], isPlo=true]
[Hour=88621, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6d 7d 8d 9d Td}], isPlo=false]
[Hour=88622, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Tc Jc Qc Kc Ac} (flopped=false)], isPlo=true]
[Hour=88623, Hand=[PokerHand: handType=QUADS {3c Qc Qd Qh Qs}], isPlo=false]
[Hour=88624, Hand=[PokerHand: handType=FULL_HOUSE {4d 4c 8d 8s 8h}], isPlo=false]
[Hour=88625, Hand=[PokerHand: handType=QUADS {7d 7h 7s 7c Ah} (flopped=false)], isPlo=true]
[Hour=88626, Hand=[PokerHand: handType=QUADS {Js Jh Jc Jd Ac} (flopped=false)], isPlo=true]
[Hour=88627, Hand=[PokerHand: handType=QUADS {9d Kh Kc Kd Ks} (flopped=false)], isPlo=true]
[Hour=88628, Hand=[PokerHand: handType=QUADS {Tc Th Td Ts Kc} (flopped=false)], isPlo=true]
[Hour=88629, Hand=[PokerHand: handType=FULL_HOUSE {7d 7c As Ac Ad}], isPlo=false]
[Hour=88630, Hand=[PokerHand: handType=QUADS {8h 8c 8s 8d Qd} (flopped=false)], isPlo=true]
[Hour=88631, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Th Jh Qh Kh Ah} (flopped=false)], isPlo=true]
[Hour=88632, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2c 3c 4c 5c 6c} (flopped=false)], isPlo=true]
[Hour=88633, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Td Jd Qd Kd Ad} (flopped=false)], isPlo=true]
[Hour=88634, Hand=[PokerHand: handType=QUADS {7d 7c 7h 7s Qh} (flopped=true)], isPlo=true]
[Hour=88635, Hand=[PokerHand: handType=QUADS {Kd Ks Kh Kc Ac} (flopped=false)], isPlo=true]
[Hour=88636, Hand=[PokerHand: handType=QUADS {Ks Kh Kc Kd Ac} (flopped=true)], isPlo=true]
[Hour=88637, Hand=[PokerHand: handType=FULL_HOUSE {9h 9s Ac Ad Ah}], isPlo=false]
[Hour=88638, Hand=[PokerHand: handType=QUADS {7d 7c 7s 7h Ac}], isPlo=false]
[Hour=88639, Hand=[PokerHand: handType=QUADS {Th Qc Qs Qh Qd} (flopped=false)], isPlo=true]
[Hour=88640, Hand=[PokerHand: handType=QUADS {2s 2h 2c 2d 3c}], isPlo=false]
[Hour=88641, Hand=[PokerHand: handType=FULL_HOUSE {3d 3s Qd Qs Qh}], isPlo=false]
[Hour=88642, Hand=[PokerHand: handType=QUADS {Kc As Ac Ad Ah} (flopped=false)], isPlo=true]
[Hour=88643, Hand=[PokerHand: handType=QUADS {9c Kc Kh Kd Ks} (flopped=true)], isPlo=true]
[Hour=88644, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8d 9d Td Jd Qd} (flopped=false)], isPlo=true]
[Hour=88645, Hand=[PokerHand: handType=QUADS {Jc Ah As Ad Ac}], isPlo=false]
[Hour=88646, Hand=[PokerHand: handType=QUADS {6h Ac Ah As Ad}], isPlo=false]
[Hour=88647, Hand=[PokerHand: handType=QUADS {Qh Qd Qs Qc Ad} (flopped=false)], isPlo=true]
[Hour=88648, Hand=[PokerHand: handType=QUADS {Kd Ks Kh Kc Ah} (flopped=false)], isPlo=true]
[Hour=88649, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Td Jd Qd Kd Ad} (flopped=false)], isPlo=true]
[Hour=88650, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5d 6d 7d 8d 9d}], isPlo=false]
[Hour=88651, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5h 6h 7h 8h 9h}], isPlo=false]
[Hour=88652, Hand=[PokerHand: handType=QUADS {7c 7s 7d 7h Ah} (flopped=false)], isPlo=true]
[Hour=88653, Hand=[PokerHand: handType=QUADS {Qh Ad Ac Ah As} (flopped=false)], isPlo=true]
[Hour=88654, Hand=[PokerHand: handType=FULL_HOUSE {Js Jc Jd Qs Qc}], isPlo=false]
[Hour=88655, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6s 7s 8s 9s Ts} (flopped=false)], isPlo=true]
[Hour=88656, Hand=[PokerHand: handType=QUADS {8s 8d 8c 8h Kd} (flopped=false)], isPlo=true]
[Hour=88657, Hand=[PokerHand: handType=QUADS {9d 9h 9c 9s Jh} (flopped=false)], isPlo=true]
